Institute,Branch,Opening_Rank,Closing_Rank,Gender,Type
"NIT, Kurukshetra",VLSI (ECE) & Design (4),5215.0,6172.0,Male,NIT
NIT Delhi,VLSI (ECE) & Design (4),4839.0,5030.0,Male,NIT
"NIT, Kurukshetra",Mechanical Engg (5),9439.0,9439.0,Male,NIT
NIT Patna (HS/OBC),Mechanical Engg (5),14971.0,15748.0,Male,NIT
"NIT, Kurukshetra",Civil Engg (5),14100.0,14932.0,Male,NIT
NIT Patna (HS/OBC),Civil Engg (5),16665.0,16665.0,Male,NIT
"NIT, Warangal",Mettalurgi & Material (5),9527.0,9527.0,Male,NIT
"NIT, Rourkela",Mettalurgi & Material (5),11873.0,11889.0,Male,NIT
"NIT, Warangal",Physics (5),8226.0,10346.0,Male,NIT
Sardar Vallabhbhai NIT Surat,Physics (5),13340.0,19483.0,Male,NIT
"NIT, Warangal",Maths (5),6763.0,6763.0,Male,NIT
Sardar Vallabhbhai NIT Surat,Maths (5),14835.0,17956.0,Male,NIT
"NIT, Rourkela",Food Processing/ bio Chemical (4),12059.0,12664.0,Male,NIT
"Visvesvaraya NIT, Nagpur",Food Processing/ bio Chemical (4),12605.0,13799.0,Male,NIT
"NIT, Tiruchirappalli",Architecture (5),94.0,123.0,Male,NIT
"NIT, Rourkela",Architecture (5),172.0,239.0,Male,NIT
NIT Calicut,Architecture (5),79.0,272.0,Male,NIT
"Visvesvaraya NIT, Nagpur",Architecture (5),213.0,313.0,Male,NIT
Malaviya NIT Jaipur,Architecture (5),347.0,383.0,Male,NIT
Maulana Azad NIT Bhopal,Architecture (5),334.0,401.0,Male,NIT
"NIT, Kurukshetra",Architecture (5),293.0,431.0,Male,NIT
NIT Hamirpur,Architecture (5),366.0,456.0,Male,NIT
NIT Raipur,Architecture (5),310.0,402.0,Male,NIT
NIT Patna (HS/OBC),Architecture (5),744.0,1015.0,Male,NIT
Maulana Azad NIT Bhopal,Planning (5),228.0,348.0,Male,NIT
"NIT, Warangal",Chemical/ Chemistry (5),8393.0,8393.0,Male,NIT
"NIT, Rourkela",Chemical/ Chemistry (5),,,Male,NIT
Sardar Vallabhbhai NIT Surat,Chemical/ Chemistry (5),18971.0,20355.0,Male,NIT
NIT Durgapur,Chemical/ Chemistry (5),,,Male,NIT
"Dr. B R Ambedkar NIT, Jalandhar",Textile (4),17495.0,18876.0,Male,NIT
"NIT, Rourkela",Mining Engg (4),,,Male,NIT
"NIT, Rourkela",Ceramic Engg (5),14139.0,14396.0,Male,NIT
"NIT, Rourkela",Life Sci. (5),18066.0,19556.0,Male,NIT
