Institute,Branch,Opening_Rank,Closing_Rank,Gender
IIT/Jammu,Maths & Compu Tech  (4124),2600.0,3337.0,Male
IIT/Goa,Maths & Compu Tech  (4124),2450.0,2964.0,Male
IIT/Dharwad,Maths & Compu Tech  (4124),2798.0,3200.0,Male
IISc./Banglore,Maths & Compu Tech  (4124),235.0,567.0,Male
Inst. Name/ No.,Maths & Compu Tech  (4124),,,Male
IIT/Kharagpur,Maths & Compu Tech  (4124),449.0,709.0,Male
IIT/Hyderabad,Maths & Compu Tech  (4124),251.0,440.0,Male
Inst. Name/ No.,Maths & Compu Tech  (4124),,,Male
IIT/Bombay,Maths & Compu Tech  (4124),489.0,1048.0,Male
IIT/Delhi,Maths & Compu Tech  (4124),811.0,1090.0,Male
IIT/Kharagpur,Maths & Compu Tech  (4124),1257.0,1875.0,Male
IIT/Madras,Maths & Compu Tech  (4124),673.0,1218.0,Male
IIT/Kanpur,Maths & Compu Tech  (4124),972.0,1578.0,Male
IIT/Roorkee,Maths & Compu Tech  (4124),1040.0,1969.0,Male
IIT/Guwahati,Maths & Compu Tech  (4124),1981.0,2333.0,Male
IIT/Hyderabad,Maths & Compu Tech  (4124),1310.0,2008.0,Male
IIT/BHU Varanasi,Maths & Compu Tech  (4124),2146.0,3175.0,Male
IIT/Ropar,Maths & Compu Tech  (4124),3276.0,4096.0,Male
IIT/Indore,Maths & Compu Tech  (4124),2375.0,3178.0,Male
IIT/ISM Dhanbad,Maths & Compu Tech  (4124),3196.0,3959.0,Male
IIT/Gandhinagar,Maths & Compu Tech  (4124),2553.0,3477.0,Male
IIT/Patna,Maths & Compu Tech  (4124),1302.0,1923.0,Male
IIT/Jodhpur,Maths & Compu Tech  (4124),3138.0,4279.0,Male
IIT/Mandi,Maths & Compu Tech  (4124),3304.0,4459.0,Male
IIT/ Bhubneshwar,Maths & Compu Tech  (4124),3454.0,4352.0,Male
IIT/Tirupati,Maths & Compu Tech  (4124),3939.0,4473.0,Male
IIT/Jammu,Maths & Compu Tech  (4124),4573.0,5426.0,Male
IIT/Goa,Maths & Compu Tech  (4124),4663.0,5287.0,Male
IIT/Bhilai,Maths & Compu Tech  (4124),4555.0,5514.0,Male
IIT/Palakkad,Maths & Compu Tech  (4124),4064.0,4721.0,Male
IIT/Dharwad,Maths & Compu Tech  (4124),4179.0,5570.0,Male
Inst. Name/ No.,Maths & Compu Tech  (4124),,,Male
IIT/Delhi,Maths & Compu Tech  (4124),1952.0,2359.0,Male
IIT/Gandhinagar,Maths & Compu Tech  (4124),4390.0,5156.0,Male
IIT/Jodhpur,Maths & Compu Tech  (4124),5037.0,5948.0,Male
IIT/Jammu,Maths & Compu Tech  (4124),6036.0,6266.0,Male
Inst. Name/ No.,Maths & Compu Tech  (4124),,,Male
IIT/Bombay,Maths & Compu Tech  (4124),2055.0,2648.0,Male
IIT/ISM Dhanbad,Maths & Compu Tech  (4124),5216.0,6075.0,Male
Inst. Name/ No.,Maths & Compu Tech  (4124),,,Male
IIT/Delhi,Maths & Compu Tech  (4124),3916.0,5459.0,Male
IIT/Kharagpur,AI                   (4185),389.0,432.0,Male
IIT/Hyderabad,AI                   (4185),313.0,405.0,Male
IIT/Gandhinagar,AI                   (4185),640.0,1169.0,Male
IIT/Patna,AI                   (4185),1352.0,1602.0,Male
Inst. Name/ No.,AI                   (4185),,,Male
IIT/Patna,AI                   (4185),1352.0,1602.0,Male
IIT/Jodhpur,AI                   (4185),1377.0,1946.0,Male
Inst. Name/ No.,AI                   (4185),,,Male
IIT/Bombay,AI                   (4185),350.0,864.0,Male
IIT/Kharagpur,AI                   (4185),966.0,1348.0,Male
Inst. Name/ No.,AI                   (4185),,,Male
IIT/Kharagpur,AI                   (4185),1475.0,2278.0,Male
IIT/Hyderabad,AI                   (4185),2639.0,3602.0,Male
IIT/BHU Varanasi,AI                   (4185),4497.0,4681.0,Male
IIT/Dharwad,AI                   (4185),5564.0,6021.0,Male
Inst. Name/ No.,AI                   (4185),,,Male
IIT/Bombay,AI                   (4185),3217.0,3641.0,Male
Inst. Name/ No.,AI                   (4185),,,Male
IIT/Madras,AI                   (4185),2032.0,3111.0,Male
IIT/Roorkee,AI                   (4185),3162.0,3789.0,Male
IIT/Guwahati,AI                   (4185),3921.0,4389.0,Male
IIT/Hyderabad,AI                   (4185),3244.0,3644.0,Male
IIT/BHU Varanasi,AI                   (4185),4790.0,5067.0,Male
IIT/Jodhpur,AI                   (4185),5034.0,6116.0,Male
IIT/Patna,Maths & Compu (5609) / (5A09),1934.0,1953.0,Male
Inst. Name/ No.,Maths & Compu (5609) / (5A09),,,Male
IIT/Guwahati,Maths & Compu (5609) / (5A09),968.0,1060.0,Male
Inst. Name/ No.,Maths & Compu (5609) / (5A09),,,Male
IIT/Delhi,Maths & Compu (5609) / (5A09),578.0,783.0,Male
Inst. Name/ No.,Maths & Compu (5609) / (5A09),,,Male
IIT/Kharagpur,Maths & Compu (5609) / (5A09),2732.0,3361.0,Male
Inst. Name/ No.,Maths & Compu (5609) / (5A09),,,Male
IIT/Kharagpur,Maths & Compu (5609) / (5A09),,,Male
IIT/Kanpur,Maths & Compu (5609) / (5A09),3877.0,4992.0,Male
Inst. Name/ No.,Maths & Compu (5609) / (5A09),,,Male
IIT/Kharagpur,Maths & Compu (5609) / (5A09),3642.0,4671.0,Male
IIT/Ropar,Maths & Compu (5609) / (5A09),4401.0,5699.0,Male
IIT/Mandi,Maths & Compu (5609) / (5A09),4814.0,5705.0,Male
IIT/Delhi,CSE  (5216),109.0,166.0,Male
IIT/Roorkee,CSE  (5216),522.0,789.0,Male
Inst. Name/ No.,CSE  (5216),,,Male
IIT/Hyderabad,CSE  (5216),727.0,949.0,Male
Inst. Name/ No.,CSE  (5216),,,Male
IIT/Delhi,CSE  (5216),1325.0,2207.0,Male
IIT/Roorkee,CSE  (5216),2317.0,3027.0,Male
IIT/Bhilai,CSE  (5216),4453.0,4885.0,Male
Inst. Name/ No.,CSE  (5216),,,Male
IIT/Madras,CSE  (5216),746.0,1322.0,Male
Inst. Name/ No.,CSE  (5216),,,Male
IIT/Patna,CSE  (5216),1813.0,1813.0,Male
Inst. Name/ No.,CSE  (5216),,,Male
IIT/Kharagpur,CSE  (5216),3596.0,4047.0,Male
IIT/BHU Varanasi,CSE  (5216),4145.0,5329.0,Male
IIT/ISM Dhanbad,CSE  (5216),,,Male
IIT/Ropar,AI & Data Engg.       (411G),1347.0,1812.0,Male
Inst. Name/ No.,AI & Data Engg.       (411G),,,Male
IIT/Bombay,AI & Data Engg.       (411G),296.0,545.0,Male
IIT/Bhilai,AI & Data Engg.       (411G),3608.0,4369.0,Male
IIT/Palakkad,AI & Data Engg.       (411G),2882.0,3699.0,Male
Inst. Name/ No.,AI & Data Engg.       (411G),,,Male
IIT/Bombay,AI & Data Engg.       (411G),1023.0,2025.0,Male
IIT/Delhi,AI & Data Engg.       (411G),1510.0,2318.0,Male
IIT/Kharagpur,AI & Data Engg.       (411G),2335.0,3271.0,Male
IIT/Madras,AI & Data Engg.       (411G),2094.0,2644.0,Male
IIT/Kanpur,AI & Data Engg.       (411G),2488.0,3058.0,Male
IIT/Roorkee,AI & Data Engg.       (411G),2396.0,3084.0,Male
IIT/Guwahati,AI & Data Engg.       (411G),3092.0,3639.0,Male
IIT/Hyderabad,AI & Data Engg.       (411G),2125.0,3370.0,Male
IIT/BHU Varanasi,AI & Data Engg.       (411G),3460.0,3980.0,Male
IIT/Ropar,AI & Data Engg.       (411G),3983.0,4649.0,Male
IIT/Indore,AI & Data Engg.       (411G),3349.0,4081.0,Male
IIT/ISM Dhanbad,AI & Data Engg.       (411G),4234.0,4812.0,Male
IIT/Gandhinagar,AI & Data Engg.       (411G),3818.0,4256.0,Male
IIT/Patna,AI & Data Engg.       (411G),4657.0,5370.0,Male
IIT/Mandi,AI & Data Engg.       (411G),4765.0,5432.0,Male
IIT/ Bhubneshwar,AI & Data Engg.       (411G),,,Male
IIT/Tirupati,AI & Data Engg.       (411G),5374.0,5835.0,Male
IIT/Jammu,AI & Data Engg.       (411G),5428.0,6065.0,Male
IIT/Palakkad,AI & Data Engg.       (411G),5108.0,6072.0,Male
Inst. Name/ No.,AI & Data Engg.       (411G),,,Male
IIT/Kharagpur,AI & Data Engg.       (411G),3746.0,5182.0,Male
IIT/Madras,AI & Data Engg.       (411G),2100.0,2327.0,Male
IIT/Kanpur,AI & Data Engg.       (411G),2805.0,4365.0,Male
IIT/Mandi,AI & Data Engg.       (411G),2254.0,3219.0,Male
IIT/Jammu,AI & Data Engg.       (411G),4147.0,5994.0,Male
IIT/Dharwad,AI & Data Engg.       (411G),6037.0,6372.0,Male
Inst. Name/ No.,AI & Data Engg.       (411G),,,Male
IIT/Patna,AI & Data Engg.       (411G),3315.0,3315.0,Male
Inst. Name/ No.,AI & Data Engg.       (411G),,,Male
IIT/Mandi,AI & Data Engg.       (411G),2070.0,2543.0,Male
IIT/Delhi,Maths & Compu Engg (5254),200.0,247.0,Male
Inst. Name/ No.,Maths & Compu Engg (5254),,,Male
IIT/Hyderabad,Maths & Compu Engg (5254),558.0,855.0,Male
IIT/Gandhinagar,Maths & Compu Engg (5254),1664.0,2074.0,Male
Inst. Name/ No.,Maths & Compu Engg (5254),,,Male
IIT/Patna,Maths & Compu Engg (5254),,,Male
Inst. Name/ No.,Maths & Compu Engg (5254),,,Male
IIT/Madras,Maths & Compu Engg (5254),2032.0,3111.0,Male
IIT/BHU Varanasi,Maths & Compu Engg (5254),,,Male
IIT/Jodhpur,Maths & Compu Engg (5254),5034.0,6116.0,Male
Inst. Name/ No.,Maths & Compu Engg (5254),,,Male
IIT/Guwahati,Maths & Compu Engg (5254),2883.0,3502.0,Male
IIT/ISM Dhanbad,Maths & Compu Engg (5254),5960.0,6218.0,Male
IIT/Patna,Maths & Compu Engg (5254),5122.0,5683.0,Male
IIT/Mandi,Maths & Compu Engg (5254),6078.0,6312.0,Male
Inst. Name/ No.,Maths & Compu Engg (5254),,,Male
IIT/Mandi,Maths & Compu Engg (5254),3357.0,4208.0,Male
IIT/Patna,CSE & MTe CSE    (5A05),1409.0,1558.0,Male
Inst. Name/ No.,CSE & MTe CSE    (5A05),,,Male
IIT/Bombay,CSE & MTe CSE    (5A05),517.0,1546.0,Male
IIT/Kharagpur,CSE & MTe CSE    (5A05),2135.0,2423.0,Male
IIT/Madras,CSE & MTe CSE    (5A05),816.0,1868.0,Male
IIT/Kanpur,CSE & MTe CSE    (5A05),1723.0,2121.0,Male
IIT/Indore,CSE & MTe CSE    (5A05),2869.0,3520.0,Male
IISc./Banglore,CSE & MTe CSE    (5A05),1132.0,1942.0,Male
Inst. Name/ No.,CSE & MTe CSE    (5A05),,,Male
IIT/Kanpur,CSE & MTe CSE    (5A05),2726.0,3149.0,Male
IIT/BHU Varanasi,CSE & MTe CSE    (5A05),3670.0,4257.0,Male
IIT/Mandi,CSE & MTe CSE    (5A05),4564.0,5734.0,Male
IIT/Palakkad,CSE & MTe CSE    (5A05),5592.0,6216.0,Male
IISc./Banglore,CSE & MTe CSE    (5A05),1563.0,2323.0,Male
Inst. Name/ No.,CSE & MTe CSE    (5A05),,,Male
IIT/Madras,CSE & MTe CSE    (5A05),2226.0,3215.0,Male
Inst. Name/ No.,CSE & MTe CSE    (5A05),,,Male
IIT/Patna,CSE & MTe CSE    (5A05),2825.0,2825.0,Male
Inst. Name/ No.,CSE & MTe CSE    (5A05),,,Male
IIT/Mandi,CSE & MTe CSE    (5A05),5718.0,6092.0,Male
IIT/Bombay,Elect. Engg. (4111),106.0,281.0,Male
IIT/Delhi,Elect. Engg. (4111),328.0,425.0,Male
IIT/Kharagpur,Elect. Engg. (4111),734.0,946.0,Male
IIT/Madras,Elect. Engg. (4111),144.0,377.0,Male
IIT/Kanpur,Elect. Engg. (4111),431.0,693.0,Male
IIT/Roorkee,Elect. Engg. (4111),763.0,1027.0,Male
IIT/Hyderabad,Elect. Engg. (4111),404.0,894.0,Male
IIT/BHU Varanasi,Elect. Engg. (4111),1197.0,1529.0,Male
IIT/Ropar,Elect. Engg. (4111),1907.0,2807.0,Male
IIT/Indore,Elect. Engg. (4111),817.0,1522.0,Male
IIT/ISM Dhanbad,Elect. Engg. (4111),2174.0,2743.0,Male
IIT/Gandhinagar,Elect. Engg. (4111),1515.0,1938.0,Male
IIT/Jodhpur,Elect. Engg. (4111),2098.0,2983.0,Male
IIT/Mandi,Elect. Engg. (4111),2182.0,3005.0,Male
IIT/ Bhubneshwar,Elect. Engg. (4111),2394.0,2970.0,Male
IIT/Tirupati,Elect. Engg. (4111),2493.0,3354.0,Male
IIT/Jammu,Elect. Engg. (4111),3435.0,4230.0,Male
IIT/Goa,Elect. Engg. (4111),3256.0,3804.0,Male
IIT/Palakkad,Elect. Engg. (4111),2764.0,3719.0,Male
Inst. Name/ No.,Elect. Engg. (4111),,,Male
IIT/Patna,Elect. Engg. (4111),,,Male
Inst. Name/ No.,Elect. Engg. (4111),,,Male
IIT/Kharagpur,Elect. Engg. (4111),2984.0,3584.0,Male
IIT/Madras,Elect. Engg. (4111),2245.0,2499.0,Male
IIT/Roorkee,Elect. Engg. (4111),2808.0,3585.0,Male
IIT/Hyderabad,Elect. Engg. (4111),2707.0,3329.0,Male
IIT/Ropar,Elect. Engg. (4111),4836.0,5490.0,Male
IIT/Patna,Elect. Engg. (4111),5248.0,5848.0,Male
IIT/ Bhubneshwar,Elect. Engg. (4111),4913.0,5825.0,Male
IIT/Bhilai,Elect. Engg. (4111),5557.0,6105.0,Male
Inst. Name/ No.,Elect. Engg. (4111),,,Male
IIT/Madras,Elect. Engg. (4111),4328.0,4969.0,Male
IIT/Kanpur,Elect. Engg. (4111),3222.0,3688.0,Male
Inst. Name/ No.,Elect. Engg. (4111),,,Male
IIT/Patna,Elect. Engg. (4111),5525.0,5525.0,Male
Inst. Name/ No.,Elect. Engg. (4111),,,Male
IIT/Roorkee,ECE          (4114),374.0,752.0,Male
IIT/Guwahati,ECE          (4114),770.0,899.0,Male
IIT/ISM Dhanbad,ECE          (4114),4069.0,4767.0,Male
IIT/Patna,ECE          (4114),1791.0,2297.0,Male
IIT/ Bhubneshwar,ECE          (4114),1553.0,2132.0,Male
IIT/Bhilai,ECE          (4114),2653.0,3498.0,Male
IIT/Dharwad,ECE          (4114),3012.0,3441.0,Male
Inst. Name/ No.,ECE          (4114),,,Male
IIT/Madras,ECE          (4114),1032.0,1456.0,Male
IIT/Jodhpur,ECE          (4114),3030.0,4005.0,Male
Inst. Name/ No.,ECE          (4114),,,Male
IIT/BHU Varanasi,ECE          (4114),3679.0,4494.0,Male
IIT/ISM Dhanbad,ECE          (4114),4489.0,5669.0,Male
Inst. Name/ No.,ECE          (4114),,,Male
IIT/Delhi,ECE          (4114),2569.0,3313.0,Male
IIT/BHU Varanasi,ECE          (4114),4044.0,4990.0,Male
Inst. Name/ No.,ECE          (4114),,,Male
IIT/Patna,ECE          (4114),,,Male
Inst. Name/ No.,ECE          (4114),,,Male
IIT/Madras,Comp En & Mechs (412U),288.0,645.0,Male
IISc./Banglore,Comp En & Mechs (412U),648.0,923.0,Male
Inst. Name/ No.,Comp En & Mechs (412U),,,Male
IIT/BHU Varanasi,Comp En & Mechs (412U),884.0,1189.0,Male
IIT/Jodhpur,Comp En & Mechs (412U),2185.0,2770.0,Male
Inst. Name/ No.,Comp En & Mechs (412U),,,Male
IIT/Bombay,Comp En & Mechs (412U),1649.0,2289.0,Male
IIT/Indore,Comp En & Mechs (412U),4084.0,4637.0,Male
Inst. Name/ No.,Comp En & Mechs (412U),,,Male
IIT/Jodhpur,Comp En & Mechs (412U),3793.0,4930.0,Male
IIT/Dharwad,Comp En & Mechs (412U),5766.0,6129.0,Male
Inst. Name/ No.,Comp En & Mechs (412U),,,Male
IIT/Patna,Comp En & Mechs (412U),5687.0,5687.0,Male
Inst. Name/ No.,Comp En & Mechs (412U),,,Male
IIT/Kharagpur,Comp En & Mechs (412U),3385.0,4173.0,Male
IIT/Kanpur,Data Sc. & AI (4181 / 4207),656.0,823.0,Male
IIT/Roorkee,Data Sc. & AI (4181 / 4207),319.0,433.0,Male
IIT/Guwahati,Data Sc. & AI (4181 / 4207),455.0,544.0,Male
IIT/Mandi,Data Sc. & AI (4181 / 4207),1494.0,1850.0,Male
IIT/Bhilai,Data Sc. & AI (4181 / 4207),2842.0,3112.0,Male
Inst. Name/ No.,Data Sc. & AI (4181 / 4207),,,Male
IIT/Bombay,Data Sc. & AI (4181 / 4207),1363.0,1577.0,Male
IIT/Delhi,Data Sc. & AI (4181 / 4207),1406.0,1821.0,Male
IIT/Roorkee,Data Sc. & AI (4181 / 4207),2453.0,2536.0,Male
IIT/Guwahati,Data Sc. & AI (4181 / 4207),2550.0,2821.0,Male
Inst. Name/ No.,Data Sc. & AI (4181 / 4207),,,Male
IIT/Delhi,Data Sc. & AI (4181 / 4207),1539.0,2198.0,Male
Inst. Name/ No.,Data Sc. & AI (4181 / 4207),,,Male
IIT/Patna,Data Sc. & AI (4181 / 4207),5569.0,5585.0,Male
Inst. Name/ No.,Data Sc. & AI (4181 / 4207),,,Male
IIT/Patna,Data Sc. & AI (4181 / 4207),5926.0,5926.0,Male
Inst. Name/ No.,Data Sc. & AI (4181 / 4207),,,Male
IIT/Roorkee,Data Sc. & AI (4181 / 4207),2386.0,4080.0,Male
IIT/ISM Dhanbad,Data Sc. & AI (4181 / 4207),5653.0,6155.0,Male
IIT/Kanpur,Maths & Compu (4203),250.0,707.0,Male
Inst. Name/ No.,Maths & Compu (4203),,,Male
IIT/Patna,Maths & Compu (4203),2310.0,2817.0,Male
IIT/Dharwad,Maths & Compu (4203),3548.0,4026.0,Male
Inst. Name/ No.,Maths & Compu (4203),,,Male
IIT/Patna,Maths & Compu (4203),2900.0,3485.0,Male
Inst. Name/ No.,Maths & Compu (4203),,,Male
IIT/Kharagpur,Maths & Compu (4203),6975.0,7973.0,Male
IIT/Roorkee,Maths & Compu (4203),5821.0,7464.0,Male
IIT/BHU Varanasi,Maths & Compu (4203),8415.0,9002.0,Male
Inst. Name/ No.,Maths & Compu (4203),,,Male
IIT/Palakkad,Maths & Compu (4203),2364.0,3230.0,Male
Inst. Name/ No.,Maths & Compu (4203),,,Male
IIT/Delhi,Elect. Engg.  Power & Auto (4112),289.0,524.0,Male
Inst. Name/ No.,Elect. Engg.  Power & Auto (4112),,,Male
IIT/Roorkee,Elect. Engg.  Power & Auto (4112),522.0,789.0,Male
Inst. Name/ No.,Elect. Engg.  Power & Auto (4112),,,Male
IIT/Mandi,Elect. Engg.  Power & Auto (4112),1391.0,1920.0,Male
Inst. Name/ No.,Elect. Engg.  Power & Auto (4112),,,Male
IIT/Bombay,Elect. Engg.  Power & Auto (4112),3065.0,4062.0,Male
IIT/Delhi,Elect. Engg.  Power & Auto (4112),4233.0,4691.0,Male
IIT/Kharagpur,Elect. Engg.  Power & Auto (4112),5172.0,5798.0,Male
IIT/Kanpur,Elect. Engg.  Power & Auto (4112),4371.0,4997.0,Male
IIT/ISM Dhanbad,Elect. Engg.  Power & Auto (4112),4068.0,4987.0,Male
IIT/Patna,Elect. Engg.  Power & Auto (4112),6259.0,6357.0,Male
Inst. Name/ No.,Elect. Engg.  Power & Auto (4112),,,Male
IIT/Roorkee,Elect. Engg.  Power & Auto (4112),3934.0,5117.0,Male
IIT/ISM Dhanbad,Elect. Engg.  Power & Auto (4112),5580.0,6264.0,Male
Inst. Name/ No.,Elect. Engg.  Power & Auto (4112),,,Male
IIT/Hyderabad,Elect. Engg.  Power & Auto (4112),1098.0,1299.0,Male
